kdrg_code,aadrg_code,kdrg_name,mdc_code
A0000,A000,,
A0001,A000,,
A0002,A000,,
A0003,A000,,
A0004,A000,,
A0005,A000,,
A0006,A000,,
A0007,A000,,
A0008,A000,,
A0009,A000,,
A0010,A001,,
A0011,A001,,
A0012,A001,,
A0013,A001,,
A0014,A001,,
A0015,A001,,
A0016,A001,,
A0017,A001,,
A0018,A001,,
A0019,A001,,
A0090,A009,,
A0091,A009,,
A0092,A009,,
A0093,A009,,
A0094,A009,,
A0095,A009,,
A0096,A009,,
A0097,A009,,
A0098,A009,,
A0099,A009,,
A0100,A010,,
A0101,A010,,
A0102,A010,,
A0103,A010,,
A0104,A010,,
A0105,A010,,
A0106,A010,,
A0107,A010,,
A0108,A010,,
A0109,A010,,
A0110,A011,,
A0111,A011,,
A0112,A011,,
A0113,A011,,
A0114,A011,,
A0115,A011,,
A0116,A011,,
A0117,A011,,
A0118,A011,,
A0119,A011,,
A0120,A012,,
A0121,A012,,
A0122,A012,,
A0123,A012,,
A0124,A012,,
A0125,A012,,
A0126,A012,,
A0127,A012,,
A0128,A012,,
A0129,A012,,
A0130,A013,,
A0131,A013,,
A0132,A013,,
A0133,A013,,
A0134,A013,,
A0135,A013,,
A0136,A013,,
A0137,A013,,
A0138,A013,,
A0139,A013,,
A0140,A014,,
A0141,A014,,
A0142,A014,,
A0143,A014,,
A0144,A014,,
A0145,A014,,
A0146,A014,,
A0147,A014,,
A0148,A014,,
A0149,A014,,
A0200,A020,,
A0201,A020,,
A0202,A020,,
A0203,A020,,
A0204,A020,,
A0205,A020,,
A0206,A020,,
A0207,A020,,
A0208,A020,,
A0209,A020,,
A0210,A021,,
A0211,A021,,
A0212,A021,,
A0213,A021,,
A0214,A021,,
A0215,A021,,
A0216,A021,,
A0217,A021,,
A0218,A021,,
A0219,A021,,
A0220,A022,,
A0221,A022,,
A0222,A022,,
A0223,A022,,
A0224,A022,,
A0225,A022,,
A0226,A022,,
A0227,A022,,
A0228,A022,,
A0229,A022,,
A0280,A028,,
A0281,A028,,
A0282,A028,,
A0283,A028,,
A0284,A028,,
A0285,A028,,
A0286,A028,,
A0287,A028,,
A0288,A028,,
A0289,A028,,
A0290,A029,,
A0291,A029,,
A0292,A029,,
A0293,A029,,
A0294,A029,,
A0295,A029,,
A0296,A029,,
A0297,A029,,
A0298,A029,,
A0299,A029,,
A0300,A030,,
A0301,A030,,
A0302,A030,,
A0303,A030,,
