kdrg_code,kdrg_name,aadrg_code,aadrg_name,partition,mdc_code,cc_level,relative_weight,arithmetic_mean_los
A0100,간 이식,A010,간 이식,S,,0,0.0,0.0
A0101,간 이식 - 경도,A010,간 이식,S,,1,0.0,0.0
A0102,간 이식 - 중등도,A010,간 이식,S,,2,0.0,0.0
A0103,간 이식 - 중증,A010,간 이식,S,,3,0.0,0.0
A0104,간 이식 - 최중증,A010,간 이식,S,,4,0.0,0.0
A0105,간 이식 - 특수1,A010,간 이식,S,,5,0.0,0.0
A0106,간 이식 - 특수2,A010,간 이식,S,,6,0.0,0.0
A0107,간 이식 - 특수3,A010,간 이식,S,,7,0.0,0.0
A0108,간 이식 - 특수4,A010,간 이식,S,,8,0.0,0.0
A0109,간 이식 - 특수5,A010,간 이식,S,,9,0.0,0.0
A0200,폐 이식,A020,폐 이식,S,,0,0.0,0.0
A0201,폐 이식 - 경도,A020,폐 이식,S,,1,0.0,0.0
A0202,폐 이식 - 중등도,A020,폐 이식,S,,2,0.0,0.0
A0203,폐 이식 - 중증,A020,폐 이식,S,,3,0.0,0.0
A0204,폐 이식 - 최중증,A020,폐 이식,S,,4,0.0,0.0
A0205,폐 이식 - 특수1,A020,폐 이식,S,,5,0.0,0.0
A0206,폐 이식 - 특수2,A020,폐 이식,S,,6,0.0,0.0
A0207,폐 이식 - 특수3,A020,폐 이식,S,,7,0.0,0.0
A0208,폐 이식 - 특수4,A020,폐 이식,S,,8,0.0,0.0
A0209,폐 이식 - 특수5,A020,폐 이식,S,,9,0.0,0.0
A0300,심장 이식,A030,심장 이식,S,,0,0.0,0.0
A0301,심장 이식 - 경도,A030,심장 이식,S,,1,0.0,0.0
A0302,심장 이식 - 중등도,A030,심장 이식,S,,2,0.0,0.0
A0303,심장 이식 - 중증,A030,심장 이식,S,,3,0.0,0.0
A0304,심장 이식 - 최중증,A030,심장 이식,S,,4,0.0,0.0
A0305,심장 이식 - 특수1,A030,심장 이식,S,,5,0.0,0.0
A0306,심장 이식 - 특수2,A030,심장 이식,S,,6,0.0,0.0
